Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-01-03,15732.5,15832.7998046875,15644.08984375,15832.7998046875,15832.7998046875,4429960000,,,15832.7998046875,15832.7998046875,0.0,,,,,,,,,
2022-01-04,15852.1396484375,15852.1396484375,15512.41015625,15622.7197265625,15622.7197265625,5131110000,,,15800.47979266827,15817.238317418982,-16.75852475071224,,,,,,,,,
2022-01-05,15547.16015625,15586.2998046875,15095.1796875,15100.169921875,15100.169921875,5031850000,,,15692.739812546228,15764.122139971278,-71.38232742504988,,,,,,,,,
2022-01-06,15024.150390625,15198.4501953125,14914.8701171875,15080.8603515625,15080.8603515625,4790820000,,,15598.604510856423,15713.5101556447,-114.90564478827764,,,,,,,,,
2022-01-07,15095.7197265625,15171.01953125,14877.6298828125,14935.900390625,14935.900390625,4238070000,,,15496.65003082082,15655.909432309907,-159.2594014890874,,,,,,,,,
2022-01-10,14751.7802734375,14953.849609375,14530.23046875,14942.830078125,14942.830078125,5317180000,,,15411.446961175308,15603.088739407322,-191.64177823201317,,,,,,,,,
2022-01-11,14919.259765625,15158.7099609375,14837.6298828125,15153.4501953125,15153.4501953125,4390710000,15238.390066964286,,15371.75515104257,15569.782180585484,-198.02702954291453,,,,,,,349.0518434227398,,
2022-01-12,15263.099609375,15319.0302734375,15117.2900390625,15188.3896484375,15188.3896484375,4338530000,15146.331473214286,,15343.545073718711,15541.530881907855,-197.98580818914343,,,,,,,231.2562608705467,,
2022-01-13,15245.0400390625,15259.7099609375,14782.240234375,14806.8095703125,14806.8095703125,4302020000,15029.772879464286,,15260.970380886985,15487.107081048938,-226.13670016195283,,,,,,,137.903809068739,,
2022-01-14,14708.01953125,14897.6796875,14689.4296875,14893.75,14893.75,4374020000,15000.28431919643,,15204.474937673604,15443.154704674944,-238.67976700134022,,-0.05931040727297532,,,,,142.34009577117632,,
2022-01-18,14681.830078125,14740.5400390625,14482.9404296875,14506.900390625,14506.900390625,5060790000,14918.2900390625,,15097.155776589203,15373.802533263837,-276.64675667463416,,-0.07142286077374416,,,,,227.82961006815168,,
2022-01-19,14582.2197265625,14658.8896484375,14331.650390625,14340.259765625,14340.259765625,4665340000,14833.198521205357,,14980.710236440864,15297.243809735035,-316.5335732941712,,-0.05032460960251506,,,,,314.79170229224195,,
2022-01-20,14462.849609375,14642.0302734375,14140.7802734375,14154.01953125,14154.01953125,5102050000,14720.511300223214,,14853.527051026886,15212.560529847255,-359.03347882036906,,-0.061458086521998134,,,,,398.9442418658882,,
2022-01-21,14046.2197265625,14171.7197265625,13764.240234375,13768.919921875,13768.919921875,5870830000,14522.721261160714,,14686.66441577275,15105.624188515978,-418.9597727432283,12.375572578879243,-0.0781325824509711,,,,,482.9048933808108,,
2022-01-24,13481.5,13876.6103515625,13094.650390625,13855.1298828125,13855.1298828125,6998770000,14332.255580357143,,14558.736026086557,15012.994980686091,-454.25895459953426,15.045856801401797,-0.07279077588553984,,,,,437.3797804319508,,
2022-01-25,13610.8701171875,13781.6201171875,13414.1396484375,13539.2900390625,13539.2900390625,5019380000,14151.181361607143,,14401.89818192901,14903.831651676936,-501.9334697479262,14.503640759737806,-0.10652096621199292,,,,,469.3762146741331,,
2022-01-26,13871.76953125,14002.650390625,13392.1904296875,13542.1201171875,13542.1201171875,5771140000,13958.091378348214,,14269.62463350724,14802.964130603643,-533.3394970964036,17.742096581854298,-0.10838999850253117,,,,,383.06775090397,,
2022-01-27,13710.990234375,13765.91015625,13322.66015625,13352.7802734375,13352.7802734375,5177380000,13793.217075892857,,14128.571655034972,14695.543104146891,-566.9714491119194,16.57510596661956,-0.0982000403240354,,,,,354.81705689852333,,
2022-01-28,13436.7099609375,13771.91015625,13236.5595703125,13770.5703125,13770.5703125,4971930000,13711.83286830357,,14073.494525414208,14627.026601061936,-553.5320756477286,29.61176693304283,-0.07541281997482163,,,,,261.4906977265226,,
2022-01-31,13812.1904296875,14242.900390625,13767.7099609375,14239.8798828125,14239.8798828125,5124940000,13724.0986328125,,14099.092272706253,14598.349066376793,-499.25679367054,39.41413241213383,-0.01840644800904956,14531.377490234376,729.1980546098954,15989.773599454167,13072.981381014584,286.50647804665704,,
2022-02-01,14277.4296875,14358.6904296875,14070.76953125,14346.0,14346.0,4671850000,13806.538643973214,14522.549990699405,14137.078076905293,14579.656542941475,-442.57846603618236,37.44530288890637,0.00040028803304936744,14457.0375,662.2530262376821,15781.543552475365,13132.531447524636,371.8632468734096,-0.0021921785912118615,-1.0252336468184549
2022-02-02,14494.4697265625,14504.8203125,14264.650390625,14417.5498046875,14417.5498046875,4673140000,13886.884347098214,14455.157133556548,14180.227573487171,14567.648636404145,-387.4210629169738,38.14945730177432,0.018618758639951327,14396.77900390625,602.7622749600887,15602.303553826427,13191.254453986072,438.83921736826284,-0.10941396720636605,-1.0860810297391739
2022-02-03,14045.830078125,14207.8896484375,13851.740234375,13878.8203125,13878.8203125,4326300000,13935.388671875,14372.114304315477,14133.85722564299,14516.624316114949,-382.767090471958,36.39108107341729,0.007981772807785559,14335.7115234375,589.4717760884471,15514.655075614393,13156.767971260606,411.9574596207617,-0.1344878677041031,-1.3202998313446876
